# Program:featureCounts v2.1.1; Command:"featureCounts" "-F" "GTF" "-t" "exon" "-g" "transcript_id" "-T" "64" "-p" "-B" "-C" "-Q" "10" "-s" "0" "-a" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/pantoea.gtf" "-o" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/counts/pantoea/counts_pantoea.txt" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/P_1.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/P_2.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/P_3.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/CK_P_1.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/CK_P_2.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/CK_P_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	P_1.sorted.bam	P_2.sorted.bam	P_3.sorted.bam	CK_P_1.sorted.bam	CK_P_2.sorted.bam	CK_P_3.sorted.bam
ACSMXK_06160.t01	CP195787	1276721	1277014	+	294	515	659	495	117	106	139
ACSMXK_06165.t01	CP195787	1277112	1277459	-	348	5269	6428	5422	1623	1796	1947
ACSMXK_06170.t01	CP195787	1277646	1279307	-	1662	3575	3881	2957	851	848	729
ACSMXK_06175.t01	CP195787	1279392	1280270	-	879	2000	2756	2056	766	898	897
ACSMXK_06180.t01	CP195787	1280393	1280974	+	582	2403	2629	2040	926	1012	1018
ACSMXK_06185.t01	CP195787	1281022	1281711	-	690	1989	2522	2063	761	842	972
ACSMXK_06190.t01	CP195787	1281969	1282352	+	384	1891	2095	1358	3911	4333	4842
ACSMXK_06195.t01	CP195787	1282561	1283889	-	1329	2567	2673	2052	698	784	792
ACSMXK_06200.t01	CP195787	1284057	1284806	+	750	2481	3249	2674	1299	1535	1683
ACSMXK_06205.t01	CP195787	1284791	1286452	-	1662	766	1009	787	1239	1522	1820
ACSMXK_06210.t01	CP195787	1286813	1287391	+	579	7254	8901	7182	3017	3410	4256
ACSMXK_06215.t01	CP195787	1287418	1288071	+	654	18621	23453	19361	9085	10574	12218
ACSMXK_06220.t01	CP195787	1288071	1289027	+	957	3988	5176	3951	1069	1366	1367
ACSMXK_06225.t01	CP195787	1289024	1289488	+	465	2098	2579	1960	835	766	815
ACSMXK_06230.t01	CP195787	1289708	1291507	+	1800	7083	8946	6351	1320	1232	1218
ACSMXK_06235.t01	CP195787	1291517	1292491	+	975	3937	5088	3752	706	580	683
ACSMXK_06240.t01	CP195787	1292622	1293302	+	681	5348	7211	6230	1847	1912	2545
ACSMXK_06245.t01	CP195787	1293351	1294256	+	906	5446	7375	6212	1348	1498	1744
ACSMXK_06250.t01	CP195787	1294261	1294992	+	732	1006	1410	1183	261	224	298
ACSMXK_06255.t01	CP195787	1295065	1295796	+	732	1686	2271	1599	575	661	734
ACSMXK_06260.t01	CP195787	1295796	1296176	+	381	466	654	424	132	197	214
ACSMXK_06265.t01	CP195787	1296173	1296421	-	249	1026	1390	1169	654	688	767
ACSMXK_06270.t01	CP195787	1296684	1297523	-	840	1001	1400	1250	417	429	514
ACSMXK_06275.t01	CP195787	1297679	1298317	+	639	3149	4452	3484	1414	1444	1709
ACSMXK_06280.t01	CP195787	1298390	1298884	+	495	745	1052	800	327	372	372
ACSMXK_06285.t01	CP195787	1298881	1300338	-	1458	2021	2675	1942	600	610	609
ACSMXK_06290.t01	CP195787	1300609	1304499	+	3891	7554	9464	6520	1494	1371	1295
ACSMXK_06295.t01	CP195787	1304552	1304842	+	291	2138	2326	2126	2216	2173	2527
ACSMXK_06300.t01	CP195787	1305066	1306493	+	1428	1909	2291	1910	684	770	821
ACSMXK_06305.t01	CP195787	1306497	1307168	+	672	882	1219	1021	313	328	412
ACSMXK_06310.t01	CP195787	1307168	1308502	+	1335	2446	3000	2504	964	1119	1239
ACSMXK_06315.t01	CP195787	1308593	1308931	+	339	7099	10112	8659	5323	5524	5968
ACSMXK_06320.t01	CP195787	1309361	1309867	+	507	1130	1407	1220	382	412	393
ACSMXK_06325.t01	CP195787	1310142	1311326	-	1185	433	561	459	104	133	140
ACSMXK_06330.t01	CP195787	1311651	1312904	+	1254	18858	24220	20182	3830	3714	3838
ACSMXK_06335.t01	CP195787	1313032	1314180	+	1149	353	461	411	96	107	111
ACSMXK_06340.t01	CP195787	1314162	1315430	-	1269	8748	12828	11319	4269	5225	5499
ACSMXK_06345.t01	CP195787	1315586	1316212	+	627	686	893	665	352	381	314
ACSMXK_06350.t01	CP195787	1316203	1317183	+	981	958	1463	1022	236	280	331
ACSMXK_06355.t01	CP195787	1317374	1318387	+	1014	15480	27390	22530	7641	8506	10251
ACSMXK_06360.t01	CP195787	1318434	1319237	-	804	2322	2853	2072	299	422	441
ACSMXK_06365.t01	CP195787	1319357	1320106	+	750	1523	1794	1353	251	281	297
ACSMXK_06370.t01	CP195787	1320240	1320737	+	498	1360	1903	1238	667	768	872
ACSMXK_06375.t01	CP195787	1320827	1321987	+	1161	3523	4972	3861	1002	1017	1258
ACSMXK_06380.t01	CP195787	1322111	1323397	+	1287	3420	4685	3580	839	754	856
ACSMXK_06385.t01	CP195787	1323450	1324214	+	765	1809	2267	1898	430	429	474
ACSMXK_06390.t01	CP195787	1324250	1325092	-	843	3280	3984	3355	1022	1037	1061
ACSMXK_06395.t01	CP195787	1325238	1330133	+	4896	4436	5557	4457	1613	1538	1641
ACSMXK_06400.t01	CP195787	1330146	1332470	+	2325	1538	1858	1537	540	545	619
ACSMXK_06405.t01	CP195787	1332647	1333078	+	432	1497	1738	1238	582	711	748
ACSMXK_06410.t01	CP195787	1333253	1334422	+	1170	5077	5765	4200	958	887	897
ACSMXK_06415.t01	CP195787	1334504	1335235	+	732	5380	5804	4823	1044	1054	1156
ACSMXK_06420.t01	CP195787	1335225	1336235	+	1011	4654	5352	4341	681	822	808
ACSMXK_06425.t01	CP195787	1336275	1337396	+	1122	4401	5124	4668	1230	1087	1135
ACSMXK_06430.t01	CP195787	1337502	1338776	+	1275	5954	6778	5684	1078	1027	1208
ACSMXK_06435.t01	CP195787	1338815	1339432	+	618	3106	3526	2845	659	680	746
ACSMXK_06440.t01	CP195787	1339452	1340633	+	1182	6679	7704	6208	1638	1748	1727
ACSMXK_06445.t01	CP195787	1340808	1342292	+	1485	3596	4469	3735	976	956	1051
ACSMXK_06450.t01	CP195787	1342886	1345327	+	2442	1789	2308	1855	521	531	623
ACSMXK_06455.t01	CP195787	1345466	1345798	-	333	5126	7174	6684	3943	4488	5634
ACSMXK_06460.t01	CP195787	1345795	1346808	-	1014	17507	24173	21697	11064	12736	15517
ACSMXK_06465.t01	CP195787	1346849	1348222	-	1374	1988	2377	1808	281	284	259
ACSMXK_06470.t01	CP195787	1348391	1349857	+	1467	8462	10248	7891	2384	2070	2249
ACSMXK_06475.t01	CP195787	1349930	1351510	+	1581	5118	5978	4959	1665	1560	1406
ACSMXK_06480.t01	CP195787	1351775	1352794	-	1020	136	145	136	70	83	47
ACSMXK_06485.t01	CP195787	1353296	1353610	+	315	1918	3201	2777	1368	1508	2124
ACSMXK_06490.t01	CP195787	1353697	1354470	+	774	1955	2959	2582	1364	1604	1777
ACSMXK_06495.t01	CP195787	1354569	1354748	-	180	3093	4229	4258	3611	3634	4332
ACSMXK_06500.t01	CP195787	1354936	1355199	+	264	126	144	133	36	52	71
ACSMXK_06505.t01	CP195787	1355201	1355710	+	510	361	493	352	130	141	159
ACSMXK_06510.t01	CP195787	1355707	1357140	-	1434	2234	2847	2145	781	768	788
ACSMXK_06515.t01	CP195787	1357265	1357450	-	186	4607	6382	4323	1324	1378	1413
ACSMXK_06520.t01	CP195787	1357548	1358147	-	600	1272	1605	1188	420	447	561
ACSMXK_06525.t01	CP195787	1358189	1359712	-	1524	3675	4627	3798	1563	1783	1875
ACSMXK_06530.t01	CP195787	1359718	1361778	-	2061	4783	6169	4872	2669	2859	2730
ACSMXK_06535.t01	CP195787	1361933	1364029	+	2097	1191	1575	1173	348	323	399
ACSMXK_06540.t01	CP195787	1364026	1365660	+	1635	612	687	670	175	185	175
ACSMXK_06545.t01	CP195787	1365673	1366440	+	768	358	345	306	73	65	70
ACSMXK_06550.t01	CP195787	1366469	1367107	-	639	1128	1691	1127	126	132	149
ACSMXK_06555.t01	CP195787	1367104	1368144	-	1041	4721	6150	3912	523	554	443
ACSMXK_06560.t01	CP195787	1368363	1368989	+	627	2630	4078	3512	924	946	1149
ACSMXK_06565.t01	CP195787	1369146	1370435	+	1290	272	420	343	269	290	238
ACSMXK_06570.t01	CP195787	1370530	1371237	+	708	1425	1745	1184	229	252	330
ACSMXK_06575.t01	CP195787	1371234	1371581	-	348	353	441	303	139	159	180
ACSMXK_06580.t01	CP195787	1371587	1373050	-	1464	2352	2906	2236	885	882	985
ACSMXK_06585.t01	CP195787	1373796	1374401	+	606	408	585	521	138	136	179
ACSMXK_06590.t01	CP195787	1374526	1375551	+	1026	113	136	110	118	125	101
ACSMXK_06595.t01	CP195787	1375535	1376557	+	1023	181	216	127	178	205	188
ACSMXK_06600.t01	CP195787	1376557	1377438	+	882	68	111	84	84	83	70
ACSMXK_06605.t01	CP195787	1377435	1378250	+	816	77	117	105	104	129	114
ACSMXK_06610.t01	CP195787	1378247	1379233	+	987	102	115	65	98	154	159
ACSMXK_06615.t01	CP195787	1379245	1380075	+	831	184	199	122	118	179	144
ACSMXK_06620.t01	CP195787	1380230	1381795	+	1566	4626	6225	5062	1181	1353	1578
ACSMXK_06625.t01	CP195787	1381863	1382684	-	822	1167	1350	1169	299	440	408
ACSMXK_06630.t01	CP195787	1382933	1384333	+	1401	582	631	574	331	266	323
ACSMXK_06635.t01	CP195787	1384344	1386299	+	1956	1044	1097	1001	821	741	1055
ACSMXK_06640.t01	CP195787	1386497	1387567	+	1071	698	831	532	387	355	484
ACSMXK_06645.t01	CP195787	1387605	1388072	-	468	10136	13922	11431	8876	9333	12050
ACSMXK_06650.t01	CP195787	1388217	1388831	-	615	3413	4082	3104	744	885	975
ACSMXK_06655.t01	CP195787	1388942	1389820	+	879	4809	6259	4938	1108	1240	1292
ACSMXK_06660.t01	CP195787	1389835	1390866	+	1032	6532	8352	7083	2081	2436	2507
ACSMXK_06665.t01	CP195787	1391009	1391722	+	714	5438	6661	5041	483	470	448
ACSMXK_06670.t01	CP195787	1391852	1392721	+	870	3901	5350	4352	1490	1754	2100
ACSMXK_06675.t01	CP195787	1392718	1394685	+	1968	1604	2074	1720	681	706	865
ACSMXK_06680.t01	CP195787	1394759	1395439	+	681	2048	2986	2414	773	863	1040
ACSMXK_06685.t01	CP195787	1395477	1395620	-	144	1976	3230	2353	2137	2029	2422
ACSMXK_06690.t01	CP195787	1395688	1396815	-	1128	3145	4527	3455	2573	2449	2888
ACSMXK_06695.t01	CP195787	1396817	1397185	-	369	408	463	389	115	128	132
ACSMXK_06700.t01	CP195787	1397587	1397634	+	48	120	130	136	114	84	119
ACSMXK_06705.t01	CP195787	1397762	1400878	-	3117	1334	1803	1275	680	749	873
ACSMXK_06710.t01	CP195787	1401044	1401676	-	633	1134	1390	1097	507	662	694
ACSMXK_06715.t01	CP195787	1401857	1403545	-	1689	748	915	788	227	240	279
ACSMXK_06720.t01	CP195787	1403795	1404067	+	273	10542	13540	8524	223934	244294	284381
ACSMXK_06725.t01	CP195787	1404340	1405812	+	1473	3256	4077	2738	689	559	664
ACSMXK_06730.t01	CP195787	1405975	1406553	+	579	254	281	254	30	29	25
ACSMXK_06735.t01	CP195787	1406599	1407558	-	960	646	840	721	360	406	396
ACSMXK_06740.t01	CP195787	1407555	1408451	-	897	222	283	193	96	77	94
ACSMXK_06745.t01	CP195787	1408448	1409140	-	693	397	352	349	143	101	94
ACSMXK_06750.t01	CP195787	1409140	1410192	-	1053	1015	1330	1036	258	283	290
ACSMXK_06755.t01	CP195787	1410207	1411196	-	990	178	272	191	74	79	67
ACSMXK_06760.t01	CP195787	1411189	1412694	-	1506	282	379	277	124	110	88
ACSMXK_06765.t01	CP195787	1412697	1413677	-	981	131	162	130	26	39	35
ACSMXK_06770.t01	CP195787	1413689	1414519	-	831	311	371	302	89	129	58
ACSMXK_06775.t01	CP195787	1415008	1416075	+	1068	1062	1355	1079	279	272	357
ACSMXK_06780.t01	CP195787	1416072	1417235	-	1164	1749	2072	1596	291	329	336
ACSMXK_06785.t01	CP195787	1417447	1418133	-	687	3040	3412	3050	1079	1097	1362
ACSMXK_06790.t01	CP195787	1418123	1419760	-	1638	2665	2800	2441	662	655	753
ACSMXK_06795.t01	CP195787	1420066	1421427	+	1362	1502	1467	1168	384	376	399
ACSMXK_06800.t01	CP195787	1421587	1421982	-	396	1190	1293	1113	342	371	485
ACSMXK_06805.t01	CP195787	1422258	1424258	-	2001	4302	6688	6296	2330	2303	2374
ACSMXK_06810.t01	CP195787	1424322	1425272	-	951	8959	13514	11890	2633	3255	3634
ACSMXK_06815.t01	CP195787	1425633	1427912	+	2280	2680	3349	3295	2019	2059	2027
ACSMXK_06820.t01	CP195787	1427972	1428886	-	915	1357	1588	1212	438	415	464
ACSMXK_06825.t01	CP195787	1428935	1429780	-	846	387	519	351	127	130	136
ACSMXK_06830.t01	CP195787	1429990	1430415	+	426	1318	1614	1280	711	723	831
ACSMXK_06835.t01	CP195787	1430405	1430866	+	462	508	690	589	277	242	360
ACSMXK_06840.t01	CP195787	1430930	1431550	+	621	510	724	552	170	171	246
ACSMXK_06845.t01	CP195787	1431758	1432774	+	1017	1172	928	769	101	179	187
ACSMXK_06850.t01	CP195787	1432774	1433607	+	834	641	364	290	40	41	54
ACSMXK_06855.t01	CP195787	1433607	1434482	+	876	717	306	211	48	47	54
ACSMXK_06860.t01	CP195787	1434472	1435560	+	1089	2464	669	752	171	174	186
ACSMXK_06865.t01	CP195787	1435676	1436557	+	882	1565	1456	1120	300	337	369
ACSMXK_06870.t01	CP195787	1436723	1437403	+	681	1848	2138	1784	705	867	1027
ACSMXK_06875.t01	CP195787	1437400	1438749	+	1350	1063	1358	1032	294	344	370
ACSMXK_06880.t01	CP195787	1438808	1439308	-	501	16739	22922	20400	7278	9626	11326
ACSMXK_06885.t01	CP195787	1439351	1441078	-	1728	21022	27755	24841	8949	10415	11605
ACSMXK_06890.t01	CP195787	1441238	1441495	-	258	9636	12188	10731	7819	9507	11205
ACSMXK_06895.t01	CP195787	1441886	1442854	-	969	4263	3851	3152	1214	1108	1363
ACSMXK_06900.t01	CP195787	1442996	1443763	-	768	949	1387	1018	358	271	373
ACSMXK_06905.t01	CP195787	1443982	1444980	+	999	12625	18724	15925	5028	5213	6150
ACSMXK_06910.t01	CP195787	1445048	1447066	+	2019	1937	2523	2051	658	542	727
ACSMXK_06915.t01	CP195787	1447068	1447286	+	219	95	92	83	30	38	26
ACSMXK_06920.t01	CP195787	1447330	1448337	-	1008	990	1262	926	288	220	299
ACSMXK_06925.t01	CP195787	1448433	1449353	+	921	722	882	624	224	220	290
ACSMXK_06930.t01	CP195787	1449350	1449703	-	354	954	785	492	484	398	435
ACSMXK_06935.r01	CP195787	1449989	1450121	-	133	61	64	63	26	26	28
ACSMXK_06940.r01	CP195787	1450153	1450285	-	133	82	131	64	6	4	3
ACSMXK_06945.r01	CP195787	1450317	1450392	-	76	0	2	0	0	0	0
ACSMXK_06950.r01	CP195787	1450397	1450472	-	76	159	202	181	18	23	36
ACSMXK_06955.r01	CP195787	1450514	1450589	-	76	1815	2676	1880	163	207	229
ACSMXK_06960.r01	CP195787	1450637	1450712	-	76	797	1112	883	216	209	287
ACSMXK_06965.t01	CP195787	1450982	1452400	+	1419	5194	6385	4838	1573	1785	1786
ACSMXK_06970.t01	CP195787	1452529	1452882	-	354	3083	4264	3577	560	629	656
ACSMXK_06975.t01	CP195787	1452994	1453782	-	789	4376	4687	3588	850	812	937
ACSMXK_06980.r01	CP195787	1454144	1454219	+	76	160	243	126	27	17	20
ACSMXK_06985.r01	CP195787	1454265	1454340	+	76	240	303	179	35	30	41
ACSMXK_06990.t01	CP195787	1454834	1455286	+	453	1363	1666	1265	519	602	567
ACSMXK_06995.t01	CP195787	1455280	1455606	+	327	299	370	202	92	82	108
ACSMXK_07000.t01	CP195787	1455637	1456398	+	762	581	610	342	258	188	184
ACSMXK_07005.t01	CP195787	1457027	1457146	+	120	94	98	68	9	8	17
ACSMXK_07010.t01	CP195787	1457370	1458131	-	762	661	1076	820	319	314	357
ACSMXK_07015.t01	CP195787	1458307	1459497	-	1191	2639	3604	2533	1772	1701	1696
ACSMXK_07020.t01	CP195787	1459858	1461099	+	1242	3052	5314	3016	5165	5916	7346
ACSMXK_07025.t01	CP195787	1461187	1461876	+	690	802	1312	742	815	927	1138
ACSMXK_07030.t01	CP195787	1461917	1462267	-	351	608	850	627	268	333	395
ACSMXK_07035.t01	CP195787	1462419	1463408	-	990	1132	1501	1252	497	493	463
ACSMXK_07040.t01	CP195787	1463626	1465278	+	1653	3293	5491	4100	8054	8412	9889
ACSMXK_07045.t01	CP195787	1465441	1466406	+	966	2841	3909	2966	1127	1313	1315
ACSMXK_07050.t01	CP195787	1466456	1467184	-	729	455	594	497	174	147	195
ACSMXK_07055.t01	CP195787	1467181	1468851	-	1671	1122	1521	1190	467	467	513
ACSMXK_07060.t01	CP195787	1469102	1469626	+	525	1713	2119	1694	605	702	719
ACSMXK_07065.t01	CP195787	1469743	1470978	+	1236	5985	7884	6238	3767	4085	4179
ACSMXK_07070.t01	CP195787	1471028	1471099	-	72	773	999	737	451	408	503
ACSMXK_07075.t01	CP195787	1471296	1472324	-	1029	589	707	587	132	120	145
ACSMXK_07080.t01	CP195787	1472331	1473932	-	1602	218	310	254	60	61	52
ACSMXK_07085.t01	CP195787	1474087	1474872	+	786	1250	1544	1174	317	321	376
ACSMXK_07090.t01	CP195787	1474880	1475332	+	453	445	509	427	116	138	173
ACSMXK_07095.t01	CP195787	1475342	1476151	+	810	644	861	593	153	125	121
ACSMXK_07100.t01	CP195787	1476397	1476678	+	282	1746	1842	1494	453	517	588
ACSMXK_07105.t01	CP195787	1477137	1478012	+	876	2445	3479	2672	1179	1076	1366
ACSMXK_07110.t01	CP195787	1478046	1479266	-	1221	741	1043	856	248	353	343
ACSMXK_07115.t01	CP195787	1479533	1479772	+	240	35936	49275	50572	13601	13112	15923
ACSMXK_07120.t01	CP195787	1480105	1480434	+	330	222	322	238	30	28	36
ACSMXK_07125.t01	CP195787	1480531	1480668	+	138	105	165	120	19	21	27
ACSMXK_07130.t01	CP195787	1480968	1481498	+	531	279	407	255	105	90	96
ACSMXK_07135.t01	CP195787	1481670	1482827	-	1158	418	682	458	125	131	110
ACSMXK_07140.t01	CP195787	1482921	1484297	+	1377	198	209	193	102	106	86
ACSMXK_07145.t01	CP195787	1484343	1485254	+	912	77	71	68	24	31	37
ACSMXK_07150.t01	CP195787	1485254	1486318	+	1065	98	206	144	47	41	29
ACSMXK_07155.t01	CP195787	1486324	1487430	+	1107	224	309	232	61	64	38
ACSMXK_07160.t01	CP195787	1487450	1488151	+	702	371	389	342	141	118	107
ACSMXK_07165	CP195787	1489148	1489411	+	264	53	85	37	7	5	1
ACSMXK_07170.t01	CP195787	1489483	1490586	+	1104	1139	1467	1156	207	182	266
ACSMXK_07175.t01	CP195787	1490567	1491103	+	537	101	146	111	44	35	44
ACSMXK_07180.t01	CP195787	1491096	1491548	+	453	128	113	100	41	41	34
ACSMXK_07185.t01	CP195787	1491563	1492030	+	468	141	145	141	28	33	28
ACSMXK_07190	CP195787	1492152	1492550	+	399	108	153	192	22	31	29
ACSMXK_07195.t01	CP195787	1492629	1493873	+	1245	315	384	290	171	173	184
ACSMXK_07200.t01	CP195787	1493920	1495275	+	1356	2270	2929	2187	497	476	507
ACSMXK_07205.t01	CP195787	1495731	1496735	-	1005	1903	2306	1778	842	938	982
ACSMXK_07210	CP195787	1496915	1497403	-	489	497	650	560	208	220	240
ACSMXK_07215.r01	CP195787	1497583	1497657	-	75	136	196	180	70	76	92
ACSMXK_07220.t01	CP195787	1497731	1498663	-	933	2747	3885	3429	1377	1524	1828
ACSMXK_07225.t01	CP195787	1498907	1499524	+	618	430	510	365	56	78	59
ACSMXK_07230.t01	CP195787	1499524	1500183	+	660	388	375	337	80	76	76
ACSMXK_07235.t01	CP195787	1500238	1500978	+	741	387	481	362	90	91	94
ACSMXK_07240.t01	CP195787	1500975	1501208	+	234	45	51	42	14	14	18
ACSMXK_07245.t01	CP195787	1501205	1501690	+	486	263	310	262	74	77	92
ACSMXK_07250.t01	CP195787	1501687	1503645	+	1959	363	328	268	82	75	62
ACSMXK_07255.t01	CP195787	1503642	1504196	+	555	78	96	88	25	30	22
ACSMXK_07260.t01	CP195787	1504193	1504648	+	456	177	174	159	91	55	71
ACSMXK_07265.t01	CP195787	1504648	1505859	+	1212	1645	2080	1821	389	417	442
ACSMXK_07270.t01	CP195787	1505989	1506753	+	765	5128	7886	7154	1833	1956	2281
ACSMXK_07275.t01	CP195787	1506879	1508153	-	1275	31403	37787	34767	29603	35603	38162
ACSMXK_07280.t01	CP195787	1508512	1508808	+	297	779	890	644	898	988	1076
ACSMXK_07285.t01	CP195787	1508971	1510281	+	1311	9583	12279	9436	7974	9005	8967
ACSMXK_07290.t01	CP195787	1510281	1512401	+	2121	12980	15183	11966	12906	13431	13759
ACSMXK_07295.t01	CP195787	1512603	1513085	+	483	12264	13924	10865	2817	3520	4027
ACSMXK_07300.t01	CP195787	1513157	1514977	-	1821	1093	1545	1112	184	224	182
ACSMXK_07305.t01	CP195787	1515252	1515800	-	549	1554	1863	1426	213	226	203
ACSMXK_07310.t01	CP195787	1515961	1516893	+	933	1363	1541	1263	470	414	462
ACSMXK_07315.t01	CP195787	1516940	1518025	+	1086	2444	3010	2585	667	679	784
ACSMXK_07320.t01	CP195787	1518030	1518848	+	819	1177	1255	1056	348	387	395
ACSMXK_07325.t01	CP195787	1518857	1519660	+	804	495	745	542	223	246	220
ACSMXK_07330.t01	CP195787	1519680	1520222	+	543	1806	2720	2488	845	957	1084
ACSMXK_07335.t01	CP195787	1520255	1520539	+	285	564	804	721	218	298	282
ACSMXK_07340.t01	CP195787	1520568	1522580	-	2013	1548	2157	1490	368	288	261
ACSMXK_07345.t01	CP195787	1522732	1523952	+	1221	19048	24992	14286	8778	9015	8988
ACSMXK_07350.t01	CP195787	1524038	1525477	-	1440	1101	1341	869	281	270	293
ACSMXK_07355.t01	CP195787	1525566	1526009	+	444	234	244	192	69	57	75
ACSMXK_07360.t01	CP195787	1526011	1527051	-	1041	2499	2943	2302	384	469	518
ACSMXK_07365.t01	CP195787	1527166	1528668	-	1503	2629	4190	3874	661	742	981
ACSMXK_07370.t01	CP195787	1528679	1529110	-	432	428	677	702	25	22	36
ACSMXK_07375.t01	CP195787	1529123	1530103	-	981	1940	3647	3647	171	141	158
ACSMXK_07380.t01	CP195787	1530223	1530894	+	672	900	1154	1072	447	593	672
ACSMXK_07385.t01	CP195787	1530885	1532273	+	1389	824	916	910	414	517	573
ACSMXK_07390.t01	CP195787	1532254	1533153	-	900	526	597	562	248	289	305
ACSMXK_07395.t01	CP195787	1533302	1534435	+	1134	1038	1253	960	189	141	170
ACSMXK_07400.t01	CP195787	1534543	1535553	+	1011	1072	1453	1210	246	231	238
ACSMXK_07405.t01	CP195787	1535553	1536356	+	804	521	711	552	95	120	160
ACSMXK_07410.t01	CP195787	1536381	1537037	+	657	827	1005	861	183	157	151
ACSMXK_07415.t01	CP195787	1537193	1538107	+	915	8366	11038	8385	1346	1558	1546
ACSMXK_07420.t01	CP195787	1538199	1539467	+	1269	1378	1614	1262	221	226	210
ACSMXK_07425.t01	CP195787	1539457	1540236	+	780	1229	1262	1261	271	305	281
ACSMXK_07430.t01	CP195787	1540489	1540974	+	486	1847	2472	1917	241	178	177
ACSMXK_07435.t01	CP195787	1541012	1542529	+	1518	6890	9208	6640	1285	1172	1294
ACSMXK_07440.t01	CP195787	1542631	1543200	+	570	821	998	742	297	349	322
ACSMXK_07445.t01	CP195787	1543468	1544250	+	783	31670	30179	27261	9511	10809	10738
ACSMXK_07450.t01	CP195787	1544418	1545104	+	687	5434	5240	4891	1364	1682	1677
ACSMXK_07455.t01	CP195787	1545101	1545817	+	717	2158	2287	1734	445	489	510
ACSMXK_07460.t01	CP195787	1545826	1546599	+	774	3753	3646	3128	741	833	795
ACSMXK_07465.t01	CP195787	1546592	1547566	-	975	1514	1848	1570	219	258	261
ACSMXK_07470.t01	CP195787	1547759	1549150	+	1392	9315	10125	8845	76	49	45
ACSMXK_07475.t01	CP195787	1549160	1550623	+	1464	6741	5097	5383	42	42	55
ACSMXK_07480.t01	CP195787	1550658	1551938	+	1281	7328	4734	4905	369	398	452
ACSMXK_07485.t01	CP195787	1551968	1552867	-	900	3504	4024	3943	3265	3162	4490
ACSMXK_07490.t01	CP195787	1553051	1553692	+	642	2842	2918	2204	834	1009	1018
ACSMXK_07495.t01	CP195787	1553803	1554327	+	525	3508	4401	3838	1736	2098	2522
ACSMXK_07500.t01	CP195787	1554645	1555469	-	825	1925	2479	1935	1319	1511	1440
ACSMXK_07505.t01	CP195787	1555480	1556745	-	1266	3381	3810	3817	1703	1997	1957
ACSMXK_07510.t01	CP195787	1556791	1557816	-	1026	4970	5392	5794	3212	3415	3215
ACSMXK_07515.t01	CP195787	1557930	1559192	-	1263	7623	8643	9177	5856	6646	6040
ACSMXK_07520.t01	CP195787	1559310	1560803	+	1494	2340	2865	2421	163	236	222
ACSMXK_07525.t01	CP195787	1561069	1562154	+	1086	12723	14197	12962	978	1247	1213
ACSMXK_07530.t01	CP195787	1562210	1564357	-	2148	8663	11031	8988	3397	3496	3387
ACSMXK_07535.t01	CP195787	1564427	1565629	-	1203	7745	10386	8617	3685	4045	4236
ACSMXK_07540.t01	CP195787	1565963	1566412	+	450	6055	7299	5911	1379	1292	1828
ACSMXK_07545.t01	CP195787	1566555	1567049	+	495	1107	1318	995	274	320	360
ACSMXK_07550.t01	CP195787	1567063	1567722	+	660	1824	2271	1871	644	681	622
ACSMXK_07555.t01	CP195787	1567753	1568352	-	600	1398	1862	1426	540	756	683
ACSMXK_07560.t01	CP195787	1568424	1569641	-	1218	1830	2430	1670	547	484	538
ACSMXK_07565.t01	CP195787	1570603	1571526	+	924	16858	19357	14588	8034	9292	9034
ACSMXK_07570.t01	CP195787	1572165	1572608	+	444	7928	10164	7434	1499	1921	1909
ACSMXK_07575.t01	CP195787	1572624	1573301	+	678	6977	8897	6227	1412	1321	1630
ACSMXK_07580.t01	CP195787	1573417	1575216	+	1800	15003	17773	14146	3766	3871	3922
ACSMXK_07585.t01	CP195787	1575219	1575734	+	516	3362	3558	3374	586	613	650
ACSMXK_07590.t01	CP195787	1575737	1577077	+	1341	9744	10715	9615	4181	4193	3781
ACSMXK_07595.t01	CP195787	1577189	1579912	+	2724	14539	16434	14638	6177	6034	6099
ACSMXK_07600.t01	CP195787	1579909	1580886	+	978	3357	3584	3208	845	746	890
ACSMXK_07605.t01	CP195787	1580897	1581439	+	543	2378	2804	2193	582	503	658
ACSMXK_07610.t01	CP195787	1581450	1582001	+	552	1588	1813	1498	353	358	451
ACSMXK_07615.t01	CP195787	1581998	1582300	+	303	291	391	316	76	73	86
ACSMXK_07620.t01	CP195787	1582297	1584132	+	1836	6982	7905	6451	1826	1725	2146
