# Program:featureCounts v2.1.1; Command:"featureCounts" "-F" "GTF" "-t" "exon" "-g" "transcript_id" "-T" "64" "-p" "-B" "-C" "-Q" "10" "-s" "0" "-a" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/burkholderia.gtf" "-o" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/counts/burkholderia/counts_burkholderia.txt" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/B_1.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/B_2.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/B_3.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/CK_B_1.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/CK_B_2.sorted.bam" "/mnt/user/lanc/数据/种子代谢物复苏优势菌/转录组/TPL2025061860/CleanData/results/bam/CK_B_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	B_1.sorted.bam	B_2.sorted.bam	B_3.sorted.bam	CK_B_1.sorted.bam	CK_B_2.sorted.bam	CK_B_3.sorted.bam
ACSMXP_05825.t01	CP195871	1273603	1274916	-	1314	1157	1034	1021	2212	1751	1373
ACSMXP_05830.t01	CP195871	1275311	1276246	-	936	404	309	300	493	460	354
ACSMXP_05835.t01	CP195871	1276573	1276908	-	336	261	262	247	1842	1225	1485
ACSMXP_05840.t01	CP195871	1277131	1277343	-	213	614	747	677	17803	10887	14456
ACSMXP_05845.t01	CP195871	1277606	1279537	-	1932	1719	1269	1330	1682	1396	1160
ACSMXP_05850.t01	CP195871	1280028	1280198	-	171	79	68	57	57	64	56
ACSMXP_05855.t01	CP195871	1280254	1281189	+	936	267	315	269	537	569	454
ACSMXP_05860.t01	CP195871	1281395	1282600	-	1206	232	170	148	130	163	66
ACSMXP_05865.t01	CP195871	1282822	1283646	-	825	165	83	93	145	52	71
ACSMXP_05870.t01	CP195871	1283677	1284705	-	1029	117	121	105	142	42	66
ACSMXP_05875.t01	CP195871	1284729	1285712	-	984	169	113	124	107	54	55
ACSMXP_05880.t01	CP195871	1285738	1286559	-	822	141	86	101	155	46	94
ACSMXP_05885.t01	CP195871	1286574	1287629	-	1056	161	122	117	751	209	411
ACSMXP_05890.t01	CP195871	1287811	1288881	-	1071	238	118	156	1388	379	616
ACSMXP_05895.t01	CP195871	1289686	1289901	+	216	118	122	100	240	146	178
ACSMXP_05900.t01	CP195871	1289928	1290422	+	495	114	117	92	181	164	136
ACSMXP_05905.t01	CP195871	1290460	1290930	+	471	672	729	615	959	793	793
ACSMXP_05910	CP195871	1291584	1291929	+	346	73	97	78	787	510	774
ACSMXP_05915.t01	CP195871	1292106	1292666	+	561	499	574	452	1332	1238	1065
ACSMXP_05920.t01	CP195871	1292810	1293421	+	612	349	413	316	515	410	386
ACSMXP_05925.t01	CP195871	1293446	1295164	-	1719	556	452	393	444	328	289
ACSMXP_05930.t01	CP195871	1295390	1296322	-	933	718	785	598	2194	1794	1464
ACSMXP_05935.t01	CP195871	1296414	1297310	+	897	219	233	209	254	190	152
ACSMXP_05940.t01	CP195871	1297482	1298177	+	696	117	125	96	129	121	88
ACSMXP_05945.t01	CP195871	1298188	1299426	+	1239	153	124	106	39	39	34
ACSMXP_05950.t01	CP195871	1299440	1300759	+	1320	195	130	144	44	33	42
ACSMXP_05955.t01	CP195871	1300939	1302945	-	2007	533	335	366	250	227	230
ACSMXP_05960.t01	CP195871	1303663	1304481	-	819	291	232	210	160	115	121
ACSMXP_05965.t01	CP195871	1304485	1305450	-	966	712	902	656	971	797	745
ACSMXP_05970.t01	CP195871	1305622	1306254	+	633	787	974	716	964	661	608
ACSMXP_05975.t01	CP195871	1306398	1307723	+	1326	660	538	501	207	176	116
ACSMXP_05980.t01	CP195871	1307767	1308675	-	909	411	377	355	250	178	213
ACSMXP_05985.t01	CP195871	1308780	1310852	-	2073	624	538	517	290	227	185
ACSMXP_05990.t01	CP195871	1310882	1311493	-	612	216	220	202	112	108	90
ACSMXP_05995.t01	CP195871	1311967	1314087	+	2121	1305	1103	1013	946	592	624
ACSMXP_06000.t01	CP195871	1314128	1314550	+	423	207	146	150	110	67	77
ACSMXP_06005.t01	CP195871	1314565	1319055	+	4491	1550	1342	1174	1815	1378	1324
ACSMXP_06010.t01	CP195871	1319055	1319576	+	522	531	607	495	756	519	573
ACSMXP_06015.t01	CP195871	1319579	1319971	+	393	229	156	162	253	236	163
ACSMXP_06020.t01	CP195871	1320102	1321565	-	1464	477	390	349	365	255	225
ACSMXP_06025.t01	CP195871	1322115	1323311	+	1197	6108	9481	7125	7278	6410	5691
ACSMXP_06030.t01	CP195871	1323493	1324239	+	747	601	665	529	524	430	320
ACSMXP_06035.t01	CP195871	1324450	1325433	+	984	373	444	403	343	334	239
ACSMXP_06040.t01	CP195871	1325650	1326129	+	480	160	146	103	33	45	36
ACSMXP_06045.t01	CP195871	1326239	1327240	+	1002	151	141	159	5	17	13
ACSMXP_06050	CP195871	1327429	1327860	+	432	109	107	93	74	59	35
ACSMXP_06055.t01	CP195871	1327874	1329397	-	1524	436	390	370	214	169	123
ACSMXP_06060.t01	CP195871	1329433	1330038	-	606	185	150	144	50	50	33
ACSMXP_06065.t01	CP195871	1330160	1330609	-	450	265	319	231	180	115	114
ACSMXP_06070.t01	CP195871	1330991	1331899	-	909	323	283	275	895	1124	592
ACSMXP_06075.t01	CP195871	1332104	1333057	-	954	186	156	161	185	167	103
ACSMXP_06080.t01	CP195871	1333054	1333599	-	546	62	62	63	21	22	17
ACSMXP_06085.t01	CP195871	1333925	1335049	-	1125	227	187	141	54	55	34
ACSMXP_06090.t01	CP195871	1335535	1336140	+	606	96	113	127	178	147	100
ACSMXP_06095.t01	CP195871	1336167	1336706	+	540	76	65	60	55	35	22
ACSMXP_06100.t01	CP195871	1336756	1337349	-	594	443	365	361	302	243	147
ACSMXP_06105.t01	CP195871	1337529	1337960	-	432	206	117	151	48	51	27
ACSMXP_06110.t01	CP195871	1338325	1338933	+	609	141	150	177	185	166	162
ACSMXP_06115.t01	CP195871	1339089	1340195	+	1107	610	746	628	1196	856	817
ACSMXP_06120.t01	CP195871	1340222	1342888	+	2667	738	556	600	726	567	556
ACSMXP_06125.t01	CP195871	1343098	1343742	+	645	479	487	392	355	310	227
ACSMXP_06130.t01	CP195871	1343946	1344353	+	408	294	428	334	310	221	228
ACSMXP_06135.t01	CP195871	1344465	1345130	+	666	272	219	211	267	191	146
ACSMXP_06140.t01	CP195871	1345195	1346058	-	864	955	885	791	1788	1421	1153
ACSMXP_06145.t01	CP195871	1346533	1347546	+	1014	1310	1204	1076	652	575	379
ACSMXP_06150.t01	CP195871	1347660	1349171	-	1512	6017	6830	5639	6033	5222	3455
ACSMXP_06155.t01	CP195871	1349309	1350265	+	957	286	301	253	306	277	211
ACSMXP_06160.t01	CP195871	1350279	1350677	-	399	160	131	120	88	71	62
ACSMXP_06165.t01	CP195871	1350759	1351706	+	948	607	754	653	797	684	511
ACSMXP_06170.t01	CP195871	1351812	1354331	-	2520	1097	1279	1100	864	736	518
ACSMXP_06175.t01	CP195871	1354780	1355706	+	927	199	251	238	113	103	85
ACSMXP_06180.t01	CP195871	1355809	1356633	-	825	234	182	221	41	18	27
ACSMXP_06185.t01	CP195871	1356662	1357990	-	1329	338	231	240	30	27	35
ACSMXP_06190.t01	CP195871	1358046	1358834	-	789	430	284	282	42	23	21
ACSMXP_06195.t01	CP195871	1358824	1359774	-	951	400	236	273	33	29	17
ACSMXP_06200.t01	CP195871	1359771	1360556	-	786	421	320	330	38	35	31
ACSMXP_06205.t01	CP195871	1360596	1361030	-	435	753	485	541	53	66	46
ACSMXP_06210.t01	CP195871	1361192	1362085	+	894	331	541	423	264	259	186
ACSMXP_06215.t01	CP195871	1362334	1362660	+	327	230104	476706	305963	5115	3252	2677
ACSMXP_06220.t01	CP195871	1363215	1364522	-	1308	37966	50431	38904	413	367	381
ACSMXP_06225.t01	CP195871	1364977	1365420	+	444	3046	4157	3171	660	589	457
ACSMXP_06230.t01	CP195871	1365597	1367921	-	2325	3092	2553	2209	329	323	263
ACSMXP_06235.t01	CP195871	1368177	1368827	-	651	1118	917	830	91	97	88
ACSMXP_06240.t01	CP195871	1368849	1369889	-	1041	1922	1608	1467	170	197	164
ACSMXP_06245.t01	CP195871	1369907	1370752	-	846	1304	1007	988	115	115	122
ACSMXP_06250.t01	CP195871	1370767	1371519	-	753	2455	2075	1792	125	110	122
ACSMXP_06255.t01	CP195871	1371851	1373002	+	1152	7476	6704	5975	938	703	762
ACSMXP_06260.t01	CP195871	1373196	1373699	+	504	983	728	783	163	138	139
ACSMXP_06265.t01	CP195871	1373689	1376196	+	2508	1140	1069	968	157	127	146
ACSMXP_06270.t01	CP195871	1376193	1376408	+	216	83	99	95	20	19	25
ACSMXP_06275.t01	CP195871	1376553	1376825	+	273	111	163	160	613	800	465
ACSMXP_06280.t01	CP195871	1376855	1377763	-	909	307	357	260	350	368	274
ACSMXP_06285.t01	CP195871	1377939	1379048	+	1110	246	207	187	99	139	86
ACSMXP_06290.t01	CP195871	1379441	1380754	+	1314	650	535	541	352	295	218
ACSMXP_06295.t01	CP195871	1381184	1382557	+	1374	230	185	213	84	70	26
ACSMXP_06300.t01	CP195871	1382551	1383150	+	600	121	99	73	22	28	7
ACSMXP_06305.t01	CP195871	1383182	1383331	+	150	14	9	12	2	2	1
ACSMXP_06310.t01	CP195871	1383342	1383902	+	561	131	103	119	46	44	26
ACSMXP_06315.t01	CP195871	1383943	1385325	+	1383	251	151	181	33	53	31
ACSMXP_06320.t01	CP195871	1385509	1386627	+	1119	648	600	575	916	709	536
ACSMXP_06325.t01	CP195871	1386686	1387684	-	999	478	418	372	385	311	276
ACSMXP_06330.t01	CP195871	1387811	1388977	+	1167	796	949	789	984	708	731
ACSMXP_06335.t01	CP195871	1389144	1390505	+	1362	336	255	247	313	213	205
ACSMXP_06340.t01	CP195871	1390625	1391542	-	918	583	518	498	932	712	535
ACSMXP_06345.t01	CP195871	1391688	1392392	+	705	165	178	165	175	143	124
ACSMXP_06350.t01	CP195871	1392509	1393066	+	558	161	144	139	81	47	49
ACSMXP_06355.t01	CP195871	1393117	1393965	+	849	427	429	370	521	496	401
ACSMXP_06360.t01	CP195871	1394230	1395048	+	819	4362	4583	4208	10212	8464	6837
ACSMXP_06365.t01	CP195871	1395146	1396411	-	1266	312	229	235	407	369	305
ACSMXP_06370.t01	CP195871	1396693	1397130	-	438	855	1037	734	782	621	600
ACSMXP_06375.t01	CP195871	1397304	1398329	-	1026	293	210	285	288	299	200
ACSMXP_06380.t01	CP195871	1398582	1399253	+	672	660	586	580	602	518	392
ACSMXP_06385.t01	CP195871	1399325	1399690	-	366	943	910	794	441	370	272
ACSMXP_06390.t01	CP195871	1399818	1400504	-	687	1551	1728	1392	462	323	357
ACSMXP_06395.t01	CP195871	1400778	1401548	-	771	259	281	163	142	98	63
ACSMXP_06400.t01	CP195871	1401728	1402984	-	1257	1106	1482	1222	1531	1488	1121
ACSMXP_06405.t01	CP195871	1403091	1403963	+	873	260	217	194	297	180	276
ACSMXP_06410.t01	CP195871	1404036	1404611	-	576	476	409	393	349	304	240
ACSMXP_06415.t01	CP195871	1404776	1405108	+	333	347	374	291	292	320	195
ACSMXP_06420.t01	CP195871	1405240	1405980	-	741	1257	1403	1087	1058	875	634
ACSMXP_06425.t01	CP195871	1406090	1407517	-	1428	2901	3999	3010	930	782	610
ACSMXP_06430.t01	CP195871	1407937	1409130	+	1194	613	652	593	243	239	140
ACSMXP_06435.t01	CP195871	1409235	1410041	+	807	752	753	576	427	428	284
ACSMXP_06440.t01	CP195871	1410154	1410543	-	390	1126	881	996	24740	24209	16204
ACSMXP_06445.t01	CP195871	1410851	1412182	-	1332	558	525	496	1385	1433	959
ACSMXP_06450.t01	CP195871	1412440	1412868	-	429	265	313	271	6942	6947	4777
ACSMXP_06455.t01	CP195871	1412890	1413366	-	477	211	165	177	6086	6755	4844
ACSMXP_06460.t01	CP195871	1413770	1413967	+	198	347	256	269	477	246	436
ACSMXP_06465.t01	CP195871	1414028	1415893	+	1866	1497	1612	1206	1993	1638	1388
ACSMXP_06470.t01	CP195871	1416086	1417006	+	921	549	655	455	1457	1340	1095
ACSMXP_06475.t01	CP195871	1417032	1417826	-	795	522	622	524	631	571	489
ACSMXP_06480.t01	CP195871	1417958	1418227	-	270	75	58	75	28	30	16
ACSMXP_06485.t01	CP195871	1418475	1419323	-	849	510	504	477	422	369	271
ACSMXP_06490.t01	CP195871	1419579	1421225	+	1647	1096	886	939	3496	3431	2045
ACSMXP_06495.t01	CP195871	1421330	1421647	+	318	154	152	133	566	514	369
ACSMXP_06500.t01	CP195871	1421644	1422567	+	924	395	371	388	1109	1082	739
ACSMXP_06505.t01	CP195871	1422564	1423280	+	717	249	294	222	741	688	434
ACSMXP_06510.t01	CP195871	1423255	1424007	+	753	188	146	132	312	228	132
ACSMXP_06515.t01	CP195871	1424004	1424885	+	882	192	255	209	416	305	238
ACSMXP_06520.t01	CP195871	1424882	1425814	+	933	245	261	179	426	272	272
ACSMXP_06525.t01	CP195871	1426101	1426688	+	588	323	256	297	634	451	420
ACSMXP_06530.t01	CP195871	1426982	1427839	+	858	410	419	350	523	558	368
ACSMXP_06535.t01	CP195871	1427947	1428576	+	630	638	698	615	753	689	500
ACSMXP_06540.t01	CP195871	1428722	1428928	+	207	1440	2977	2182	349	239	242
ACSMXP_06545.t01	CP195871	1429127	1430617	-	1491	1028	855	700	438	411	274
ACSMXP_06550.t01	CP195871	1431203	1431535	+	333	198	285	262	432	443	299
ACSMXP_06555.t01	CP195871	1431630	1432352	-	723	650	650	623	721	636	533
ACSMXP_06560.t01	CP195871	1432426	1432875	-	450	553	714	567	750	704	517
ACSMXP_06565.t01	CP195871	1432872	1433684	-	813	2337	2706	2331	1736	1567	1223
ACSMXP_06570.t01	CP195871	1433703	1434509	+	807	2639	3098	2660	5093	4358	3821
ACSMXP_06575.t01	CP195871	1434886	1436469	+	1584	3366	4064	3501	5291	4854	3614
ACSMXP_06580.t01	CP195871	1436619	1437851	+	1233	404	293	318	179	178	141
ACSMXP_06585.t01	CP195871	1438262	1439407	+	1146	2644	3100	2674	1985	2565	1350
ACSMXP_06590.t01	CP195871	1439428	1440102	+	675	738	881	611	796	742	646
ACSMXP_06595.t01	CP195871	1440154	1443408	+	3255	7023	8532	6779	14197	15998	10401
ACSMXP_06600.t01	CP195871	1443528	1444004	+	477	7777	9458	7912	1424	1509	986
ACSMXP_06605.t01	CP195871	1444021	1444500	+	480	1727	1687	1524	321	310	185
ACSMXP_06610.t01	CP195871	1444587	1445129	-	543	3260	3814	3096	1453	1631	1017
ACSMXP_06615.t01	CP195871	1445354	1446016	+	663	5213	6464	5294	13610	12307	10299
ACSMXP_06620.t01	CP195871	1446184	1448073	+	1890	53582	73878	56588	62277	59317	48056
ACSMXP_06625.t01	CP195871	1448230	1449036	+	807	1166	1227	917	829	793	623
ACSMXP_06630.t01	CP195871	1449065	1450420	+	1356	1867	2276	1852	2675	2491	1613
ACSMXP_06635.t01	CP195871	1450953	1451984	+	1032	3639	3737	3326	66326	25571	37180
ACSMXP_06640.t01	CP195871	1452107	1453084	+	978	784	757	693	5681	2392	3010
ACSMXP_06645.t01	CP195871	1453081	1453977	+	897	602	536	506	4026	1586	2159
ACSMXP_06650.t01	CP195871	1453993	1454841	+	849	1150	1325	1020	9868	4246	6040
ACSMXP_06655.t01	CP195871	1454858	1455562	+	705	779	903	746	5988	2704	3648
ACSMXP_06660.t01	CP195871	1455592	1456293	+	702	749	681	615	3453	1448	2231
ACSMXP_06665.t01	CP195871	1456360	1457673	+	1314	1107	1126	997	1652	1216	1235
ACSMXP_06670.t01	CP195871	1457807	1459870	-	2064	3649	5373	4122	9730	8756	7404
ACSMXP_06675.t01	CP195871	1460226	1461740	+	1515	8056	10696	8481	18747	15809	14169
ACSMXP_06680.t01	CP195871	1461829	1462281	-	453	3785	4552	3815	4853	3641	3568
ACSMXP_06685.t01	CP195871	1462532	1462930	-	399	491	521	430	288	175	222
ACSMXP_06690.t01	CP195871	1462996	1464768	-	1773	2673	2991	2422	2548	1400	1659
ACSMXP_06695.t01	CP195871	1465277	1465966	-	690	123	86	125	92	88	68
ACSMXP_06700.t01	CP195871	1466114	1467112	+	999	183	169	164	121	71	95
ACSMXP_06705.t01	CP195871	1467281	1467604	-	324	66	86	88	93	45	69
ACSMXP_06710.t01	CP195871	1467797	1468090	+	294	123	89	101	261	240	195
ACSMXP_06715.t01	CP195871	1468182	1468553	+	372	125	125	99	75	65	87
ACSMXP_06720.t01	CP195871	1468642	1469628	+	987	675	695	555	455	389	322
ACSMXP_06725.t01	CP195871	1469692	1470675	-	984	4955	5868	4602	6392	5807	4508
ACSMXP_06730.t01	CP195871	1471106	1472542	+	1437	5146	5223	4620	2973	2661	2076
ACSMXP_06735.t01	CP195871	1472664	1475003	+	2340	2475	2705	2090	914	710	568
ACSMXP_06740.t01	CP195871	1475276	1475677	+	402	184	136	142	48	37	40
ACSMXP_06745.t01	CP195871	1475805	1476437	+	633	213	112	181	62	59	44
ACSMXP_06750.t01	CP195871	1476505	1477119	+	615	148	137	118	82	72	41
ACSMXP_06755.t01	CP195871	1477220	1477750	-	531	359	385	273	737	408	552
ACSMXP_06760.t01	CP195871	1477804	1478082	-	279	159	93	76	260	120	191
ACSMXP_06765.t01	CP195871	1478382	1478609	+	228	249	221	217	705	392	601
ACSMXP_06770.t01	CP195871	1478803	1479657	+	855	2979	3407	2786	6201	4877	4398
ACSMXP_06775.t01	CP195871	1479750	1480241	+	492	1481	1827	1471	5632	4015	3908
ACSMXP_06780.t01	CP195871	1480364	1481140	-	777	1729	1491	1363	857	358	676
ACSMXP_06785.t01	CP195871	1481645	1483102	+	1458	555	402	468	1486	692	1223
ACSMXP_06790.t01	CP195871	1483206	1483367	+	162	48	44	43	113	53	86
ACSMXP_06795.t01	CP195871	1483440	1484321	-	882	238	187	192	120	129	88
ACSMXP_06800.t01	CP195871	1484746	1485987	+	1242	284	154	186	90	68	44
ACSMXP_06805.t01	CP195871	1486003	1489167	+	3165	679	481	508	132	101	84
ACSMXP_06810.t01	CP195871	1489176	1490801	+	1626	707	546	563	121	92	61
ACSMXP_06815.t01	CP195871	1490818	1491387	-	570	1905	2293	1941	1193	982	1003
ACSMXP_06820.t01	CP195871	1491520	1492140	-	621	126	99	104	39	24	32
ACSMXP_06825.t01	CP195871	1492204	1492680	-	477	86	66	82	41	43	43
ACSMXP_06830.t01	CP195871	1493038	1493565	+	528	62	66	75	17	9	23
ACSMXP_06835.t01	CP195871	1493568	1494629	+	1062	170	108	131	90	48	42
ACSMXP_06840.t01	CP195871	1494637	1495587	-	951	379	407	382	419	295	251
ACSMXP_06845.t01	CP195871	1495711	1497018	+	1308	294	358	293	9564	3718	6598
ACSMXP_06850.t01	CP195871	1497102	1498628	+	1527	324	330	287	11017	3807	7174
ACSMXP_06855.t01	CP195871	1498625	1499539	+	915	175	139	132	3423	1158	2309
ACSMXP_06860.t01	CP195871	1499608	1499883	-	276	58	53	46	1310	426	1067
ACSMXP_06865.t01	CP195871	1500015	1500947	+	933	260	224	178	1330	557	1057
ACSMXP_06870.t01	CP195871	1500845	1502209	-	1365	416	358	328	301	209	241
ACSMXP_06875.t01	CP195871	1502695	1503729	+	1035	1426	1517	1453	467	299	392
ACSMXP_06880.t01	CP195871	1503788	1505263	+	1476	239	210	231	101	83	83
ACSMXP_06885.t01	CP195871	1505260	1506192	+	933	137	115	84	33	31	32
ACSMXP_06890.t01	CP195871	1506189	1507157	+	969	182	93	102	44	25	41
ACSMXP_06895.t01	CP195871	1507166	1508101	+	936	232	197	207	266	203	190
ACSMXP_06900.t01	CP195871	1508129	1509937	-	1809	433	317	297	289	299	154
ACSMXP_06905.t01	CP195871	1510279	1512441	-	2163	383	538	365	539	373	332
ACSMXP_06910.t01	CP195871	1513033	1514388	+	1356	3290	5126	3655	7828	6434	6348
ACSMXP_06915.t01	CP195871	1514748	1515170	+	423	2168	2391	2038	5211	3444	4134
ACSMXP_06920.t01	CP195871	1515163	1516254	+	1092	1257	1440	1184	2200	1848	1763
ACSMXP_06925.t01	CP195871	1516729	1517967	+	1239	878	890	728	1189	861	804
ACSMXP_06930.t01	CP195871	1518130	1518837	-	708	2407	2881	2296	2319	1510	1872
ACSMXP_06935.t01	CP195871	1518827	1519243	-	417	1130	1465	1084	2111	1706	1619
ACSMXP_06940.t01	CP195871	1519497	1520114	-	618	411	429	308	379	320	251
ACSMXP_06945.t01	CP195871	1520324	1520575	+	252	1371	2004	1678	833	862	609
ACSMXP_06950.t01	CP195871	1520610	1521275	-	666	1487	1861	1389	347	272	256
ACSMXP_06955.t01	CP195871	1521278	1521568	-	291	46	52	62	23	27	26
ACSMXP_06960.t01	CP195871	1522293	1522931	-	639	1283	1505	1280	1181	908	962
ACSMXP_06965.t01	CP195871	1523053	1524933	-	1881	3139	3588	3097	2032	1761	1613
ACSMXP_06970.t01	CP195871	1525082	1529326	-	4245	11667	15540	11957	6449	5292	5087
ACSMXP_06975.t01	CP195871	1529337	1530449	-	1113	2627	3439	2777	969	902	801
ACSMXP_06980.t01	CP195871	1530846	1531421	-	576	1330	1581	1463	744	448	529
ACSMXP_06985.t01	CP195871	1531650	1532453	-	804	5835	7113	5879	3546	2919	3080
ACSMXP_06990.t01	CP195871	1532635	1533492	+	858	2348	2790	2167	2003	1688	1905
ACSMXP_06995.r01	CP195871	1533679	1533755	-	77	448	476	403	258	191	221
ACSMXP_07000.t01	CP195871	1533865	1534320	+	456	604	657	558	1032	878	850
ACSMXP_07005.t01	CP195871	1534469	1535272	+	804	9098	11912	8954	13913	9391	9608
ACSMXP_07010.t01	CP195871	1535392	1535562	-	171	783	1168	821	2419	1413	2057
ACSMXP_07015.t01	CP195871	1535720	1535905	+	186	288	255	225	203	163	128
ACSMXP_07020.t01	CP195871	1535978	1537351	-	1374	513	439	434	320	249	222
ACSMXP_07025.t01	CP195871	1537360	1537683	-	324	197	147	143	92	54	59
ACSMXP_07030.t01	CP195871	1537865	1539487	-	1623	1662	1776	1361	3293	2798	2419
ACSMXP_07035.t01	CP195871	1539842	1540555	-	714	1095	1261	1010	778	693	518
ACSMXP_07040.t01	CP195871	1540807	1541724	-	918	804	816	675	1377	994	869
ACSMXP_07045.t01	CP195871	1542296	1543126	+	831	512	591	545	783	569	573
ACSMXP_07050.r01	CP195871	1543349	1543425	+	77	324	294	233	220	174	177
ACSMXP_07055	CP195871	1543479	1544718	-	1240	1063	1174	912	1564	1251	1280
ACSMXP_07060.t01	CP195871	1544854	1545837	-	984	181	184	191	281	180	230
ACSMXP_07065.t01	CP195871	1546234	1548159	+	1926	513	435	431	1020	810	745
ACSMXP_07070.t01	CP195871	1548190	1548621	+	432	193	177	182	517	421	346
ACSMXP_07075.t01	CP195871	1548687	1549340	+	654	177	163	150	201	190	226
ACSMXP_07080.t01	CP195871	1549355	1550032	-	678	142	164	125	279	185	217
ACSMXP_07085.t01	CP195871	1550056	1551147	-	1092	197	169	177	224	169	131
ACSMXP_07090.t01	CP195871	1551417	1552187	+	771	140	173	121	371	264	251
ACSMXP_07095.t01	CP195871	1552228	1552791	+	564	129	168	118	319	275	215
ACSMXP_07100.t01	CP195871	1552819	1553832	+	1014	211	267	229	519	496	446
ACSMXP_07105.t01	CP195871	1553917	1555596	+	1680	304	289	281	288	224	184
ACSMXP_07110.t01	CP195871	1555615	1556136	+	522	93	101	93	55	48	39
ACSMXP_07115	CP195871	1556158	1556865	-	708	219	284	265	818	529	574
ACSMXP_07120.t01	CP195871	1557219	1558109	+	891	285	315	232	479	522	461
ACSMXP_07125.t01	CP195871	1558357	1558719	+	363	111	136	126	378	326	228
ACSMXP_07130.t01	CP195871	1558723	1559532	+	810	266	294	252	657	716	573
ACSMXP_07135.t01	CP195871	1559833	1560324	-	492	325	388	307	494	441	365
ACSMXP_07140.t01	CP195871	1560416	1561603	+	1188	172	221	173	583	538	475
ACSMXP_07145.t01	CP195871	1561600	1562049	+	450	57	94	66	461	478	391
ACSMXP_07150.t01	CP195871	1562181	1563248	-	1068	167	152	159	499	546	344
ACSMXP_07155.t01	CP195871	1563275	1564249	-	975	206	236	232	287	209	203
ACSMXP_07160.t01	CP195871	1564396	1565562	-	1167	165	210	210	273	172	153
ACSMXP_07165.t01	CP195871	1566274	1566729	-	456	64	114	71	43	31	28
ACSMXP_07170.t01	CP195871	1566757	1567617	-	861	240	189	209	177	149	148
ACSMXP_07175.t01	CP195871	1567827	1569104	-	1278	506	544	482	425	372	354
ACSMXP_07180.t01	CP195871	1569088	1569837	-	750	161	133	85	162	132	123
ACSMXP_07185.t01	CP195871	1570155	1571393	+	1239	138	196	153	550	443	331
ACSMXP_07190.t01	CP195871	1571406	1574621	+	3216	611	746	502	1716	1382	1245
ACSMXP_07195.t01	CP195871	1574618	1576045	+	1428	425	517	397	1314	1006	891
ACSMXP_07200.t01	CP195871	1576735	1577748	-	1014	140	228	187	264	242	239
ACSMXP_07205.t01	CP195871	1577872	1578765	-	894	392	541	379	732	544	540
ACSMXP_07210.t01	CP195871	1579277	1580140	-	864	212	222	171	503	327	371
ACSMXP_07215.t01	CP195871	1580175	1581104	-	930	273	260	204	481	391	404
ACSMXP_07220.t01	CP195871	1581303	1582046	+	744	552	809	563	4324	2947	3472
ACSMXP_07225.t01	CP195871	1582189	1583433	+	1245	393	469	311	771	672	650
ACSMXP_07230.t01	CP195871	1583494	1585095	+	1602	453	443	384	772	685	652
ACSMXP_07235.t01	CP195871	1585092	1585496	+	405	133	192	174	363	255	273
ACSMXP_07240.t01	CP195871	1585586	1586715	-	1130	91	147	100	309	221	221
ACSMXP_07245	CP195871	1586797	1587072	-	276	14	14	11	18	15	14
ACSMXP_07250	CP195871	1587080	1587196	-	117	4	4	4	13	5	16
ACSMXP_07255.t01	CP195871	1587260	1588102	-	843	163	166	139	299	199	227
ACSMXP_07260.t01	CP195871	1588267	1589172	+	906	436	711	581	1534	1494	1365
ACSMXP_07265.t01	CP195871	1589246	1589521	-	276	87	122	118	269	253	210
ACSMXP_07270.t01	CP195871	1589580	1590817	-	1238	269	301	256	780	727	609
ACSMXP_07275.t01	CP195871	1591185	1592177	-	993	301	214	263	446	380	316
ACSMXP_07280.t01	CP195871	1592527	1593075	+	549	444	513	462	241	243	175
ACSMXP_07285	CP195871	1593356	1593637	-	282	103	133	98	199	152	113
ACSMXP_07290.t01	CP195871	1593725	1593916	-	192	24	41	28	72	42	26
ACSMXP_07295.t01	CP195871	1594019	1594453	+	435	136	145	141	281	246	177
ACSMXP_07300.t01	CP195871	1594606	1595679	+	1074	569	396	491	1538	1184	1079
ACSMXP_07305.t01	CP195871	1595771	1597618	+	1848	532	434	453	589	518	368
ACSMXP_07310.t01	CP195871	1597627	1598871	-	1245	302	284	238	368	361	247
ACSMXP_07315.t01	CP195871	1598931	1599962	-	1032	427	447	503	1042	811	586
ACSMXP_07320.t01	CP195871	1600135	1603281	-	3147	518	395	404	453	387	315
ACSMXP_07325.t01	CP195871	1603283	1604503	-	1221	174	109	144	88	75	34
ACSMXP_07330.t01	CP195871	1604628	1605659	-	1032	219	199	163	294	294	186
ACSMXP_07335.t01	CP195871	1605652	1606647	-	996	182	140	200	293	272	206
ACSMXP_07340.t01	CP195871	1606776	1607204	-	429	177	169	138	229	211	157
